EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 212 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 217 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 221 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 225 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 231 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 239 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 250 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 262 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 271 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 277 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 287 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 298 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 315 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 325 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 335 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 339 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 342 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 348 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 356 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 360 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 344 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 319 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 298 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 281 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 267 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 262 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 258 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 250 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 235 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 217 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 200 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 185 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 177 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 162 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 150 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 142 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 137 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 131 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 121 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 115 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 111 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 110 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 108 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 106 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 102 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 98 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 96 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 92 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 90 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 85 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 79 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 75 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 54 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 27 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 2 
EventType: Rotation EventDate: 9/28/2020 5:06:04 PM AdditionalInfo: 0 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 15 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 48 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 96 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 104 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 94 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 77 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 46 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 13 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 0 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 2 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 0 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 4 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 23 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 40 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 38 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 31 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 23 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 21 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 23 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 25 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 27 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 31 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 36 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 52 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 69 
EventType: Rotation EventDate: 9/28/2020 5:06:05 PM AdditionalInfo: 92 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 106 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 113 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 119 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 127 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 142 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 163 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 188 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 221 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 239 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 252 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 260 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 262 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 264 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 265 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 267 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 269 
EventType: Rotation EventDate: 9/28/2020 5:06:06 PM AdditionalInfo: 271 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 273 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 269 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 264 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 254 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 242 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 231 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 219 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 210 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 200 
