EventType: OnAppLoad EventDate: 9/28/2020 2:57:34 PM AdditionalInfo:  
EventType: OnAppLoad EventDate: 9/28/2020 2:57:45 PM AdditionalInfo:  
EventType: Tension EventDate: 9/28/2020 2:57:46 PM AdditionalInfo: 100 
EventType: Tension EventDate: 9/28/2020 2:57:46 PM AdditionalInfo: 100 
EventType: Tension EventDate: 9/28/2020 2:57:46 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 9/28/2020 2:57:46 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 9/28/2020 2:57:49 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 9/28/2020 2:57:49 PM AdditionalInfo: 1.339441 
EventType: Rotation EventDate: 9/28/2020 2:57:53 PM AdditionalInfo: 19 
EventType: Rotation EventDate: 9/28/2020 2:57:53 PM AdditionalInfo: 28 
EventType: Rotation EventDate: 9/28/2020 2:57:53 PM AdditionalInfo: 42 
EventType: Rotation EventDate: 9/28/2020 2:57:53 PM AdditionalInfo: 54 
EventType: Rotation EventDate: 9/28/2020 2:57:53 PM AdditionalInfo: 60 
EventType: Rotation EventDate: 9/28/2020 2:57:53 PM AdditionalInfo: 69 
EventType: Rotation EventDate: 9/28/2020 2:57:53 PM AdditionalInfo: 74 
EventType: Rotation EventDate: 9/28/2020 2:57:53 PM AdditionalInfo: 80 
EventType: Rotation EventDate: 9/28/2020 2:57:53 PM AdditionalInfo: 83 
EventType: Rotation EventDate: 9/28/2020 2:57:53 PM AdditionalInfo: 86 
EventType: Rotation EventDate: 9/28/2020 2:57:53 PM AdditionalInfo: 89 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 83 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 74 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 66 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 60 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 57 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 51 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 48 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 45 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 39 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 36 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 33 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 31 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 28 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 25 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 22 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 19 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 13 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 10 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 7 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 1 
EventType: AchivementUnlocked EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: CR1 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 0 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 1 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 10 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 13 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 19 
EventType: Rotation EventDate: 9/28/2020 2:57:54 PM AdditionalInfo: 22 
EventType: Rotation EventDate: 9/28/2020 2:57:55 PM AdditionalInfo: 25 
EventType: Rotation EventDate: 9/28/2020 2:57:55 PM AdditionalInfo: 28 
EventType: Rotation EventDate: 9/28/2020 2:57:55 PM AdditionalInfo: 33 
