EventType: OnAppLoad EventDate: 29/10/2020 17:20:14 AdditionalInfo: Android 
EventType: TrackingTarget EventDate: 29/10/2020 17:20:15 AdditionalInfo: TrackingLost! TargetID:CR Image target: False 
EventType: TrackingTarget EventDate: 29/10/2020 17:20:15 AdditionalInfo: TrackingFound! TargetID: CR Image target: False 
EventType: Rotation EventDate: 29/10/2020 17:20:18 AdditionalInfo: 14 
EventType: Rotation EventDate: 29/10/2020 17:20:18 AdditionalInfo: 15 
EventType: Rotation EventDate: 29/10/2020 17:20:18 AdditionalInfo: 16 
EventType: Rotation EventDate: 29/10/2020 17:20:19 AdditionalInfo: 17 
EventType: Rotation EventDate: 29/10/2020 17:20:19 AdditionalInfo: 18 
EventType: Rotation EventDate: 29/10/2020 17:20:19 AdditionalInfo: 19 
EventType: Rotation EventDate: 29/10/2020 17:20:19 AdditionalInfo: 20 
EventType: Rotation EventDate: 29/10/2020 17:20:20 AdditionalInfo: 21 
EventType: Rotation EventDate: 29/10/2020 17:20:20 AdditionalInfo: 22 
EventType: Rotation EventDate: 29/10/2020 17:20:20 AdditionalInfo: 23 
EventType: Rotation EventDate: 29/10/2020 17:20:20 AdditionalInfo: 24 
EventType: Rotation EventDate: 29/10/2020 17:20:20 AdditionalInfo: 25 
EventType: Rotation EventDate: 29/10/2020 17:20:20 AdditionalInfo: 26 
EventType: Rotation EventDate: 29/10/2020 17:20:21 AdditionalInfo: 27 
EventType: Rotation EventDate: 29/10/2020 17:20:21 AdditionalInfo: 28 
EventType: Rotation EventDate: 29/10/2020 17:20:21 AdditionalInfo: 29 
EventType: Rotation EventDate: 29/10/2020 17:20:21 AdditionalInfo: 30 
EventType: Rotation EventDate: 29/10/2020 17:20:21 AdditionalInfo: 31 
EventType: Rotation EventDate: 29/10/2020 17:20:21 AdditionalInfo: 32 
EventType: Rotation EventDate: 29/10/2020 17:20:22 AdditionalInfo: 33 
EventType: Rotation EventDate: 29/10/2020 17:20:22 AdditionalInfo: 34 
EventType: Rotation EventDate: 29/10/2020 17:20:22 AdditionalInfo: 35 
EventType: Rotation EventDate: 29/10/2020 17:20:22 AdditionalInfo: 36 
EventType: Rotation EventDate: 29/10/2020 17:20:22 AdditionalInfo: 37 
EventType: Rotation EventDate: 29/10/2020 17:20:22 AdditionalInfo: 38 
EventType: Rotation EventDate: 29/10/2020 17:20:23 AdditionalInfo: 39 
EventType: Rotation EventDate: 29/10/2020 17:20:23 AdditionalInfo: 40 
EventType: Rotation EventDate: 29/10/2020 17:20:23 AdditionalInfo: 41 
EventType: Rotation EventDate: 29/10/2020 17:20:23 AdditionalInfo: 42 
EventType: Rotation EventDate: 29/10/2020 17:20:23 AdditionalInfo: 43 
EventType: Rotation EventDate: 29/10/2020 17:20:23 AdditionalInfo: 44 
EventType: Rotation EventDate: 29/10/2020 17:20:24 AdditionalInfo: 45 
EventType: Rotation EventDate: 29/10/2020 17:20:24 AdditionalInfo: 46 
EventType: Rotation EventDate: 29/10/2020 17:20:24 AdditionalInfo: 47 
EventType: Rotation EventDate: 29/10/2020 17:20:24 AdditionalInfo: 48 
EventType: Rotation EventDate: 29/10/2020 17:20:24 AdditionalInfo: 49 
EventType: Rotation EventDate: 29/10/2020 17:20:25 AdditionalInfo: 50 
EventType: Rotation EventDate: 29/10/2020 17:20:25 AdditionalInfo: 51 
EventType: Rotation EventDate: 29/10/2020 17:20:25 AdditionalInfo: 52 
EventType: Rotation EventDate: 29/10/2020 17:20:25 AdditionalInfo: 53 
EventType: Rotation EventDate: 29/10/2020 17:20:25 AdditionalInfo: 54 
EventType: Rotation EventDate: 29/10/2020 17:20:25 AdditionalInfo: 55 
EventType: Rotation EventDate: 29/10/2020 17:20:26 AdditionalInfo: 56 
EventType: Rotation EventDate: 29/10/2020 17:20:26 AdditionalInfo: 57 
EventType: Rotation EventDate: 29/10/2020 17:20:26 AdditionalInfo: 58 
EventType: Rotation EventDate: 29/10/2020 17:20:26 AdditionalInfo: 59 
